Id,Пол,ФИО,Дата окончания обучения,Группа,Специальность,Работает по специальности
278,мужской,Тарас Иванович Ошкуков,16.2.2006,55,Электро- и теплоэнергетика,True
279,женский,Лиза Дмитриевна Шахина,2.1.2000,68,Информатика и вычислительная техника,True
280,мужской,Юрий Михаилович Танилин,21.2.2004,54,Техническое обслуживание и ремонт автомобильного транспорта,True
281,мужской,Кирилл Василиевич Двинский,29.6.2001,62,Организация перевозок и управление на транспорте (по видам),False
282,женский,Клавдия Викторовна Мельцына,22.10.2002,62,Информационные системы и программирование,True
283,мужской,Василий Данилович Секисов,28.8.2000,53,Изобразительные и прикладные виды искусств,False
284,мужской,Валентин Леонидович Фролкин,8.9.2000,60,Электронные приборы и устройства,False
285,мужской,Василий Тимофеевич Радовицкий,23.3.2005,68,Дизайн (по отраслям),False
286,мужской,Алексей Тимофеевич Вогулкин,17.1.2001,57,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",True
287,женский,София Борисовна Корлюкова,15.4.2003,57,История и археология,False
288,женский,Инна Борисовна Пыркова,11.9.2000,54,Информатика и вычислительная техника,False
289,мужской,Федор Данилович Чежин,15.5.2000,50,Документационное обеспечение управления и архивоведение,False
290,мужской,Валентин Георгиевич Лариохин,1.8.2006,50,Технология парикмахерского искусства,True
291,мужской,Павел Аркадиевич Комзолов,21.3.2000,67,Изобразительные и прикладные виды искусств,False
292,женский,Вера Эдуардовна Гайтурова,7.6.2005,61,Документационное обеспечение управления и архивоведение,False
293,мужской,Федор Фёдорович Гордоев,28.9.2003,65,Электро- и теплоэнергетика,True
294,мужской,Пётр Фёдорович Плутов,3.2.2000,55,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),True
295,женский,Ирина Эдуардовна Дотлова,11.3.2005,70,Технологии материалов,False
296,женский,Тамара Евгеньевна Рукоданова,11.7.2004,61,Техника и технологии наземного транспорта,False
297,женский,Наталья Леонидовна Дрыбалова,24.8.2002,62,Сетевое и системное администрирование,False
298,женский,Оксана Валерьевна Ронисина,7.5.2002,62,Юриспруденция,False
299,мужской,Эдуард Виталиевич Осеночкин,30.5.2002,69,Технология парикмахерского искусства,False
300,женский,Раиса Михайловна Радцева,27.4.2005,58,Технологии материалов,False
301,женский,Евгения Алексеевна Рохкина,4.1.2001,69,Теплоснабжение и теплотехническое оборудование,False
302,женский,Любовь Игоревна Мушулова,16.8.2003,63,История и археология,True
303,мужской,Антон Георгиевич Лепендин,2.5.2000,54,Дизайн (по отраслям),False
304,мужской,Яков Андреевич Кузмишев,7.6.2006,70,Технология парикмахерского искусства,True
305,мужской,Кирилл Сергеевич Силин,12.1.2003,65,Право и организация социального обеспечения,False
306,женский,Любовь Николаевна Аверичкина,2.3.2001,62,Информационные системы и программирование,False
307,мужской,Дмитрий Игоревич Амвросимов,26.10.2005,51,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",True
308,мужской,Борис Георгиевич Гнусин,19.12.2002,66,Сварочное производство,False
309,мужской,Владимир Виталиевич Игошев,6.7.2005,69,Техническое обслуживание и ремонт автомобильного транспорта,True
310,женский,Марина Петровна Пестовская,9.12.2003,50,Сварочное производство,True
311,мужской,Альберт Сергеевич Назаров,22.10.2001,58,Теплоснабжение и теплотехническое оборудование,False
312,женский,Валентина Леонидовна Шадченева,27.9.2006,51,Сервис и туризм,False
313,женский,Клавдия Игоревна Жибоедова,4.3.2005,64,Информатика и вычислительная техника,False
314,мужской,Илья Андреевич Нецкин,20.3.2005,59,Электронные приборы и устройства,True
315,мужской,Александр Денисович Базилев,26.3.2005,54,Дизайн (по отраслям),False
316,мужской,Кирилл Павлович Копорзов,30.10.2001,65,Дизайн (по отраслям),True
317,мужской,Роман Валериевич Певчих,7.1.2003,55,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
318,мужской,Леонид Сергеевич Маклецов,7.3.2001,52,История и археология,False
319,мужской,Евгений Павлович Шавлюгин,14.2.2000,61,Сервис и туризм,False
320,мужской,Никита Юриевич Паршков,14.1.2000,60,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
321,женский,Надежда Борисовна Гололюбова,9.7.2003,50,Теплоснабжение и теплотехническое оборудование,False
322,мужской,Валерий Николаевич Андреичев,9.4.2004,55,Информатика и вычислительная техника,False
323,мужской,Кирилл Виталиевич Лишаков,26.6.2003,70,"Электроника, радиотехника и системы связи",False
324,мужской,Алексей Андреевич Лапчев,3.10.2005,60,Электро- и теплоэнергетика,False
325,мужской,Вадим Валериевич Дарогавцев,18.11.2001,70,Документационное обеспечение управления и архивоведение,False
326,мужской,Георгий Максимович Антошенков,18.3.2002,58,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
327,мужской,Алексей Вадимович Деденев,30.6.2005,66,Электронные приборы и устройства,True
328,мужской,Андрей Романович Дворянин,21.11.2003,63,Право и организация социального обеспечения,True
329,женский,Яна Василевна Затолокина,12.11.2004,65,"Электроника, радиотехника и системы связи",True
330,мужской,Василий Николаевич Ивонтьев,13.8.2006,68,Право и организация социального обеспечения,False
331,мужской,Анатолий Валериевич Бушелев,21.5.2001,69,Юриспруденция,False
332,мужской,Юрий Антонович Митянин,28.1.2005,61,Информатика и вычислительная техника,False
333,женский,Маргарита Ивановна Стесякова,5.7.2001,59,Изобразительные и прикладные виды искусств,False
334,мужской,Пётр Юриевич Похвистнев,20.11.2005,57,Техническое обслуживание и ремонт автомобильного транспорта,True
335,мужской,Виталий Михаилович Кобозев,26.6.2004,52,Юриспруденция,False
336,женский,Софья Петровна Завялова,25.11.2005,68,История и археология,True
337,мужской,Михаил Леонидович Отрадин,16.12.2006,70,Технология парикмахерского искусства,True
338,мужской,Валентин Алексиевич Баурин,15.8.2000,57,Право и организация социального обеспечения,True
339,мужской,Михаил Андреевич Фектуллин,21.4.2005,57,Изобразительные и прикладные виды искусств,False
340,женский,Алиса Борисовна Клирикова,6.8.2000,54,"Электроника, радиотехника и системы связи",False
341,женский,Александра Леонидовна Лапчева,11.5.2001,53,Технологии материалов,False
342,мужской,Александр Павлович Скарлыкин,29.11.2000,60,Информатика и вычислительная техника,True
343,женский,Раиса Дмитриевна Гутиева,18.12.2006,62,Техническое обслуживание и ремонт автомобильного транспорта,False
344,женский,Виолетта Алексеевна Сьефанцева,11.4.2002,70,"Электроника, радиотехника и системы связи",True
345,женский,Вера Валерьевна Голуева,7.5.2005,68,Сервис и туризм,True
346,женский,Клара Эдуардовна Лукьяшина,29.11.2006,64,Технология парикмахерского искусства,False
347,женский,Алиса Кирилловна Бибеева,2.5.2000,62,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),True
348,мужской,Леонид Михаилович Поненков,17.11.2000,69,Право и организация социального обеспечения,False
349,мужской,Анатолий Викторович Манзеев,7.4.2001,53,Сервис и туризм,False
350,женский,Валентина Яковлевна Феремина,25.9.2002,61,Сварочное производство,False
351,мужской,Артём Юрьевич Комватов,30.3.2005,59,Дизайн (по отраслям),False
352,мужской,Аркадий Михаилович Чарин,8.3.2004,56,Организация перевозок и управление на транспорте (по видам),False
353,мужской,Станислав Павлович Сагунев,16.4.2006,68,Изобразительные и прикладные виды искусств,False
354,мужской,Андрей Фёдорович Иськин,15.9.2002,66,Организация перевозок и управление на транспорте (по видам),True
355,мужской,Василий Вадимович Клюнин,12.3.2001,66,Сетевое и системное администрирование,False
356,мужской,Роман Аркадиевич Ялинов,2.11.2000,50,Изобразительные и прикладные виды искусств,False
357,женский,Анастасия Максимовна Инвалидова,25.9.2006,54,Информационные системы и программирование,False
358,женский,Жанна Эдуардовна Игашина,28.12.2003,67,Изобразительные и прикладные виды искусств,True
359,женский,Маргарита Олеговна Хабазова,24.10.2002,62,"Электроника, радиотехника и системы связи",False
360,женский,Карина Вадимовна Жнивина,13.7.2005,52,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
361,мужской,Никита Алексиевич Горлин,18.7.2005,51,История и археология,False
362,мужской,Григорий Денисович Умбетбаев,26.3.2001,51,Технологии материалов,True
363,женский,Виктория Евгеньевна Кинчатова,5.7.2004,59,Сварочное производство,False
364,мужской,Олег Адамович Сыродеев,6.10.2002,53,Технология парикмахерского искусства,True
365,мужской,Пётр Аркадиевич Испутин,19.3.2002,53,Технология парикмахерского искусства,True
366,женский,Тамара Николаевна Девтерева,7.7.2003,57,Сервис и туризм,False
367,мужской,Артём Данилович Мекрабов,16.11.2004,58,Сервис и туризм,False
368,женский,Евгения Петровна Габидова,30.1.2004,58,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),True
369,мужской,Григорий Петрович Жадаев,9.2.2002,60,Техника и технологии наземного транспорта,True
370,женский,Ева Сергеевна Фотина,27.5.2004,65,Информатика и вычислительная техника,True
371,мужской,Николай Георгиевич Люльханов,14.5.2005,66,Право и организация социального обеспечения,False
372,женский,Мария Леонидовна Тислина,7.5.2001,50,Технологии материалов,False
373,женский,Ксения Игоревна Ширшнева,20.4.2000,61,Электро- и теплоэнергетика,False
374,мужской,Артём Петрович Крисанов,1.12.2002,59,Право и организация социального обеспечения,False
375,мужской,Роман Данилович Жаденов,30.10.2006,54,"Электроника, радиотехника и системы связи",True
376,женский,Юлия Борисовна Мамелькина,14.8.2003,64,Дизайн (по отраслям),False
377,мужской,Герасим Иванович Болдохонов,4.12.2004,67,Технологии материалов,False
378,мужской,Евгений Денисович Бычевский,17.12.2005,65,"Электроника, радиотехника и системы связи",False
379,мужской,Тарас Валериевич Манышев,4.3.2004,51,Сварочное производство,True
380,мужской,Максим Андреевич Турышев,16.1.2001,51,"Электроника, радиотехника и системы связи",True
381,женский,Вера Михайловна Абашева,5.2.2000,51,Сервис и туризм,False
382,женский,Людмила Евгеньевна Гольяшова,25.2.2004,61,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",True
383,мужской,Павел Юрьевич Макеев,15.9.2003,58,Прикладная информатика (по отраслям),False
384,женский,Людмила Эдуардовна Копрякова,19.12.2001,64,История и археология,False
385,женский,Вероника Федоровна Косынкина,20.4.2005,54,Сетевое и системное администрирование,False
386,мужской,Александр Игоревич Алхутов,6.8.2000,64,Сервис и туризм,True
387,мужской,Алексей Данилович Бушмаров,15.6.2003,51,Дизайн (по отраслям),True
388,мужской,Виктор Данилович Мелетеев,21.5.2003,64,Сварочное производство,True
389,мужской,Игорь Петрович Самылин,2.6.2006,57,Сварочное производство,False
390,женский,Дарья Вадимовна Дишковцова,8.3.2005,67,Техника и технологии наземного транспорта,True
391,мужской,Виталий Вадимович Тюканов,8.7.2003,57,Сервис и туризм,False
392,женский,Раиса Валерьевна Паршенцева,24.12.2002,57,Изобразительные и прикладные виды искусств,False
393,мужской,Борис Антонович Люцин,9.12.2001,69,Информатика и вычислительная техника,False
394,женский,Алена Алексеевна Шлюхина,10.3.2002,50,Организация перевозок и управление на транспорте (по видам),False
395,мужской,Константин Андреевич Голицын,2.8.2004,59,Сервис и туризм,False
396,мужской,Роман Николаевич Валячев,21.2.2005,59,Информационные системы и программирование,True
397,женский,Надежда Андреевна Борокина,9.11.2006,58,Организация перевозок и управление на транспорте (по видам),True
398,женский,Кира Максимовна Сгробилова,13.11.2001,60,Организация перевозок и управление на транспорте (по видам),False
399,мужской,Игорь Фёдорович Чандаков,9.11.2002,51,Организация перевозок и управление на транспорте (по видам),True
400,женский,Алла Алексеевна Крупичкина,26.10.2006,50,Дизайн (по отраслям),False
401,мужской,Леонид Иванович Тулаченков,23.3.2006,56,История и археология,False
402,женский,Алиса Кирилловна Зарифулина,28.1.2002,66,Технологии материалов,False
403,женский,Кристина Егоровна Мусаибова,3.3.2000,65,Техническое обслуживание и ремонт автомобильного транспорта,True
404,женский,Кира Алексеевна Окинчина,25.6.2003,56,История и археология,False
405,женский,Катерина Олеговна Велемицина,25.11.2002,69,Электронные приборы и устройства,False
406,мужской,Иван Николаевич Армаев,28.2.2001,65,Теплоснабжение и теплотехническое оборудование,False
407,мужской,Артём Василиевич Арешев,20.10.2005,59,История и археология,False
408,мужской,Вячеслав Василиевич Бялякин,10.9.2006,60,Информационные системы и программирование,False
409,женский,Вероника Ивановна Джимбинова,29.5.2004,63,Сервис и туризм,True
410,мужской,Антон Данилович Удиванов,2.5.2004,64,Электронные приборы и устройства,False
411,мужской,Никита Яковлевич Попыткин,16.2.2002,52,Изобразительные и прикладные виды искусств,True
412,мужской,Виталий Юриевич Пивцов,27.1.2004,50,Техническое обслуживание и ремонт автомобильного транспорта,True
413,мужской,Максим Алексеевич Кудакин,23.3.2006,61,Информационные системы и программирование,False
414,женский,Людмила Романовна Пушкирева,2.12.2001,70,Прикладная информатика (по отраслям),False
415,мужской,Денис Игоревич Титюрин,7.12.2005,70,Технологии материалов,True
416,женский,Наталия Яковлевна Безтяглова,26.6.2004,60,Прикладная информатика (по отраслям),False
417,мужской,Илья Вадимович Лузиков,9.1.2004,60,Технология парикмахерского искусства,False
418,мужской,Александр Георгиевич Кальнев,18.11.2004,50,Информатика и вычислительная техника,False
419,женский,Галина Михайловна Неклюдова,18.3.2003,55,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
420,мужской,Григорий Данилович Ухаров,19.7.2006,61,Технология парикмахерского искусства,False
421,женский,Жанна Максимовна Чернигина,20.8.2005,51,Электро- и теплоэнергетика,False
422,женский,Анна Леонидовна Абратюнова,27.9.2005,54,Сетевое и системное администрирование,False
423,мужской,Максим Фёдорович Деженин,2.6.2002,58,Дизайн (по отраслям),False
424,мужской,Тарас Виталиевич Мещанкин,9.6.2000,62,История и археология,False
425,женский,Елизавета Богдановна Расшивкина,12.11.2001,68,Информатика и вычислительная техника,True
426,мужской,Владимир Сергеевич Горельцев,15.12.2001,66,Электронные приборы и устройства,False
427,мужской,Виталий Вадимович Чеколодков,9.3.2005,63,Электро- и теплоэнергетика,False
428,мужской,Илья Данилович Радоский,20.4.2004,62,Теплоснабжение и теплотехническое оборудование,False
429,мужской,Никита Тимофеевич Коврижатов,9.2.2000,58,Дизайн (по отраслям),False
430,мужской,Григорий Павлович Бучинский,28.11.2001,65,Техника и технологии наземного транспорта,False
431,женский,Алена Федоровна Юлдашкина,4.11.2005,56,Изобразительные и прикладные виды искусств,False
432,мужской,Георгий Евгеньевич Бейбутов,23.9.2001,60,Прикладная информатика (по отраслям),True
433,мужской,Григорий Георгиевич Шалиманов,5.1.2002,55,Юриспруденция,False
434,мужской,Вячеслав Борисович Наришкин,3.4.2000,64,Электронные приборы и устройства,False
435,женский,Ева Сергеевна Копытцина,22.11.2005,69,Юриспруденция,False
436,мужской,Эдуард Адамович Хойхин,3.10.2000,54,Сервис и туризм,False
437,женский,Галина Федоровна Езжалкина,30.6.2001,64,Теплоснабжение и теплотехническое оборудование,False
438,мужской,Александр Данилович Голотынин,26.12.2000,51,Сварочное производство,True
439,мужской,Тарас Леонидович Аполченов,7.8.2005,63,Дизайн (по отраслям),True
440,мужской,Николай Николаевич Давлетов,29.4.2005,52,Информационные системы и программирование,False
441,мужской,Денис Алексиевич Бакуняев,13.12.2004,50,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",True
442,женский,Валерия Игоревна Рамзенкова,6.4.2006,63,Сварочное производство,True
443,мужской,Геннадий Олегович Бачешкин,7.5.2005,56,Электро- и теплоэнергетика,False
444,мужской,Никита Валериевич Полисский,4.4.2000,61,Юриспруденция,False
445,женский,Надежда Сергеевна Шелестина,16.11.2004,58,Прикладная информатика (по отраслям),False
446,мужской,Евгений Максимович Муканин,16.1.2000,64,Дизайн (по отраслям),False
447,мужской,Денис Олегович Баранин,17.3.2005,58,Техника и технологии наземного транспорта,False
448,женский,Тамара Кирилловна Рашникова,6.11.2000,70,Электронные приборы и устройства,False
449,мужской,Георгий Игоревич Умпелев,4.3.2000,52,Технологии материалов,False
450,мужской,Василий Василиевич Соломицкий,26.8.2003,66,Технология парикмахерского искусства,False
451,мужской,Александр Иванович Мазохин,6.2.2006,62,Информационные системы и программирование,False
452,мужской,Алексей Леонидович Лихорадов,8.2.2000,55,История и археология,False
453,мужской,Кирилл Романович Мудревский,29.10.2002,59,Информационные системы и программирование,False
454,мужской,Евгений Адамович Подрайский,1.3.2001,52,Дизайн (по отраслям),False
455,мужской,Кирилл Антонович Маздрин,19.12.2002,65,Дизайн (по отраслям),True
456,мужской,Валерий Данилович Саморков,2.7.2005,68,Документационное обеспечение управления и архивоведение,False
457,мужской,Пётр Юрьевич Маслинский,19.2.2001,51,Сварочное производство,False
458,мужской,Геннадий Виталиевич Каршинов,21.6.2005,57,Изобразительные и прикладные виды искусств,False
459,мужской,Валерий Олегович Шуманский,2.3.2002,52,Право и организация социального обеспечения,False
460,женский,Софья Евгеньевна Кортышкова,13.5.2000,55,"Электроника, радиотехника и системы связи",False
461,мужской,Артур Валериевич Ходилов,18.10.2000,70,Информатика и вычислительная техника,False
462,мужской,Никита Алексеевич Клюков,6.10.2002,65,Техника и технологии наземного транспорта,False
463,мужской,Константин Иванович Иватчин,19.1.2000,63,Юриспруденция,True
464,женский,Лариса Олеговна Жаурова,23.7.2003,70,Прикладная информатика (по отраслям),False
465,мужской,Анатолий Виталиевич Бараменков,11.4.2001,67,История и археология,False
466,женский,Евгения Валерьевна Ханзинова,3.3.2002,68,Технология парикмахерского искусства,False
467,мужской,Семён Алексеевич Бардеев,11.2.2003,59,Информатика и вычислительная техника,False
468,мужской,Григорий Антонович Геперозов,14.8.2000,52,"Электроника, радиотехника и системы связи",True
469,женский,Раиса Ивановна Тебова,30.2.2005,50,Электро- и теплоэнергетика,True
470,женский,Алина Евгеньевна Карчанова,9.1.2003,67,Документационное обеспечение управления и архивоведение,False
471,мужской,Федор Борисович Постоев,23.6.2003,50,Сетевое и системное администрирование,False
472,женский,Яна Михайловна Кадирова,23.1.2005,57,"Электроника, радиотехника и системы связи",True
473,мужской,Пётр Андреевич Шавлюгин,25.10.2002,63,"Электроника, радиотехника и системы связи",True
474,женский,Алёна Андреевна Морковина,6.6.2006,66,Электронные приборы и устройства,False
475,мужской,Антон Аркадиевич Морогов,23.9.2001,55,Прикладная информатика (по отраслям),False
476,мужской,Евгений Данилович Чичев,4.8.2004,55,Сервис и туризм,False
477,мужской,Василий Леонидович Хаотаев,18.4.2006,68,Электро- и теплоэнергетика,False
478,женский,Елизавета Сергеевна Ламзинова,21.7.2001,61,Сварочное производство,False
479,женский,Дарья Яковлевна Метеличина,3.4.2005,57,Теплоснабжение и теплотехническое оборудование,False
480,мужской,Роман Виталиевич Токбаев,1.6.2006,65,Технология парикмахерского искусства,True
481,мужской,Николай Юриевич Колабушкин,3.9.2001,53,Сварочное производство,False
482,мужской,Геннадий Николаевич Боярских,22.10.2006,59,Документационное обеспечение управления и архивоведение,False
483,мужской,Роман Вадимович Позднухов,9.3.2006,58,Документационное обеспечение управления и архивоведение,False
484,мужской,Вадим Данилович Кокаулин,18.6.2005,68,Технология парикмахерского искусства,False
485,мужской,Герасим Яковлевич Беличков,7.12.2004,53,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
486,женский,Марина Валерьевна Сколяпова,14.4.2006,62,Сварочное производство,False
487,мужской,Андрей Фёдорович Валитов,17.8.2004,50,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",True
488,мужской,Альберт Борисович Замолуев,14.2.2006,64,Технология парикмахерского искусства,True
489,мужской,Юрий Виталиевич Каурсинов,11.5.2002,63,Информационные системы и программирование,True
490,женский,Анна Максимовна Терлецкая,13.7.2005,62,Техническое обслуживание и ремонт автомобильного транспорта,True
491,мужской,Аркадий Юриевич Вечеринин,8.11.2004,61,Прикладная информатика (по отраслям),False
492,мужской,Алексей Леонидович Зимкин,26.6.2001,54,Электро- и теплоэнергетика,True
493,мужской,Юрий Вадимович Елекоев,29.2.2005,51,Право и организация социального обеспечения,False
494,женский,Людмила Василевна Джуринская,8.3.2004,55,Информатика и вычислительная техника,False
495,женский,Клара Игоревна Познанская,6.7.2003,51,Юриспруденция,False
496,женский,Александра Леонидовна Гетогазова,1.1.2003,56,Техническое обслуживание и ремонт автомобильного транспорта,False
497,мужской,Руслан Антонович Клопышкин,2.11.2002,66,Изобразительные и прикладные виды искусств,True
498,мужской,Михаил Валериевич Гаверов,22.7.2006,63,Информатика и вычислительная техника,False
499,женский,Александра Яковлевна Телемохина,28.6.2004,65,Сетевое и системное администрирование,False
500,мужской,Владислав Антонович Печагин,27.5.2006,50,Электронные приборы и устройства,False
501,мужской,Леонид Кириллович Карабкин,4.6.2003,60,Теплоснабжение и теплотехническое оборудование,True
502,мужской,Леонид Викторович Агаткин,16.2.2003,50,Электронные приборы и устройства,True
503,женский,Елена Леонидовна Подмазова,6.4.2002,69,Информационные системы и программирование,True
504,мужской,Олег Адамович Годлин,10.12.2000,59,Технология парикмахерского искусства,True
505,мужской,Геннадий Игоревич Целин,18.9.2003,58,Электронные приборы и устройства,True
506,мужской,Георгий Сергеевич Суфияров,13.8.2006,61,Организация перевозок и управление на транспорте (по видам),False
507,мужской,Артур Виталиевич Балахнев,25.2.2005,57,Сетевое и системное администрирование,False
508,женский,Валентина Петровна Пополитова,23.12.2001,70,Теплоснабжение и теплотехническое оборудование,True
509,мужской,Анатолий Вадимович Мершиев,25.11.2005,52,Техника и технологии наземного транспорта,False
510,мужской,Леонид Василиевич Ладнев,1.2.2002,67,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
511,мужской,Николай Антонович Штабнов,1.8.2004,51,Информатика и вычислительная техника,False
512,мужской,Денис Алексиевич Пионицын,16.5.2000,51,Технология парикмахерского искусства,False
513,женский,Александра Олеговна Пентюкова,15.7.2004,53,Юриспруденция,True
514,женский,Тамара Борисовна Агафонина,24.9.2001,68,Электро- и теплоэнергетика,False
515,женский,Клавдия Петровна Клекова,8.4.2003,59,Организация перевозок и управление на транспорте (по видам),True
516,женский,Кристина Борисовна Моргиева,14.11.2003,70,Техника и технологии наземного транспорта,True
517,мужской,Станислав Антонович Васин,22.5.2001,66,Документационное обеспечение управления и архивоведение,True
518,мужской,Пётр Кириллович Кредисов,29.10.2004,59,Информационные системы и программирование,True
519,мужской,Николай Валериевич Чатов,29.5.2006,58,Прикладная информатика (по отраслям),False
520,мужской,Андрей Антонович Чеушев,27.8.2004,58,Электро- и теплоэнергетика,False
521,мужской,Игорь Игоревич Саямов,10.4.2003,63,Документационное обеспечение управления и архивоведение,True
522,мужской,Альберт Романович Куломзин,26.4.2003,53,Сервис и туризм,True
523,мужской,Вячеслав Вадимович Силягин,29.4.2001,65,История и археология,False
524,женский,Наталья Леонидовна Гришнина,22.6.2001,60,Документационное обеспечение управления и архивоведение,False
525,женский,Анастасия Ивановна Пронисцова,12.5.2005,57,Технологии материалов,True
526,мужской,Леонид Борисович Кашекин,7.3.2002,53,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),True
527,мужской,Павел Алексиевич Кострулев,28.10.2001,60,Сервис и туризм,True
528,мужской,Георгий Фёдорович Боцманов,17.9.2001,60,История и археология,True
529,мужской,Эдуард Денисович Бородин,23.9.2002,54,Изобразительные и прикладные виды искусств,False
530,женский,Вера Петровна Арапушкина,20.1.2005,70,Информационные системы и программирование,True
531,мужской,Владимир Павлович Карычев,11.11.2002,56,Право и организация социального обеспечения,True
532,женский,Зинаида Никитична Эраносова,27.11.2005,53,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
533,мужской,Денис Леонидович Палчев,16.8.2001,51,История и археология,False
534,женский,Анна Романовна Темжникова,13.11.2002,64,Технология парикмахерского искусства,False
535,женский,Инна Романовна Арифанова,10.5.2004,70,Электронные приборы и устройства,False
536,женский,Дарья Леонидовна Совлукова,29.12.2003,59,Сварочное производство,False
537,женский,Елена Вадимовна Прокиадова,1.5.2004,69,Сервис и туризм,False
538,женский,Надежда Борисовна Татайкина,7.4.2002,62,Право и организация социального обеспечения,False
539,женский,Алина Борисовна Деордеева,14.12.2002,65,Электро- и теплоэнергетика,False
540,мужской,Альберт Юриевич Аверяскин,10.9.2001,69,Информационные системы и программирование,False
541,женский,Дарья Аркадьевна Шарковская,25.6.2004,69,Документационное обеспечение управления и архивоведение,False
542,мужской,Георгий Юрьевич Веденятин,25.2.2003,64,Сетевое и системное администрирование,False
543,женский,Виолетта Романовна Чаюкова,4.4.2003,62,Электро- и теплоэнергетика,False
544,женский,Жанна Леонидовна Маракушева,27.1.2004,59,Теплоснабжение и теплотехническое оборудование,False
545,женский,Клавдия Вадимовна Гаретова,30.1.2004,65,Организация перевозок и управление на транспорте (по видам),True
546,женский,Наталья Михайловна Бимбасова,23.4.2004,62,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",True
547,женский,Людмила Егоровна Халова,23.7.2000,63,Изобразительные и прикладные виды искусств,True
548,мужской,Георгий Вадимович Астраускин,24.9.2001,60,Электронные приборы и устройства,False
549,мужской,Денис Иванович Батылин,23.8.2001,50,Электронные приборы и устройства,False
550,мужской,Николай Денисович Кибкалов,19.4.2000,63,Организация перевозок и управление на транспорте (по видам),False
551,мужской,Денис Виталиевич Синтемов,14.11.2005,57,Теплоснабжение и теплотехническое оборудование,False
552,мужской,Владислав Фёдорович Котрахов,29.5.2006,65,Электро- и теплоэнергетика,True
553,мужской,Руслан Василиевич Загревский,7.2.2006,65,Теплоснабжение и теплотехническое оборудование,False
554,женский,Клавдия Андреевна Морских,10.9.2001,66,Электро- и теплоэнергетика,True
555,мужской,Роман Леонидович Полицин,9.11.2004,50,"Электроника, радиотехника и системы связи",False
556,женский,Лариса Кирилловна Мпушкина,11.10.2006,55,Прикладная информатика (по отраслям),False
557,мужской,Никита Данилович Калинев,18.6.2004,64,Технология парикмахерского искусства,False
558,мужской,Артём Борисович Амбаров,6.2.2003,62,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
